Datetime;Consumption;FeedIn;Production;Purchased;SelfConsumption
2024-04-30 23:15:00+02:00;189,78526;13,01664;159,66719;43,134724;146,65054
2024-04-30 23:30:00+02:00;107,303154;0;88,54795;18,755201;88,54795
2024-04-30 23:45:00+02:00;109,11115;0;88,16854;20,942614;88,16854
2024-05-01 00:00:00+02:00;105,44815;0;56,779778;48,668373;56,779778
2024-05-01 00:15:00+02:00;106,74564;0;87,553;19,19264;87,553
2024-05-01 00:30:00+02:00;109,440735;0;86,504944;22,935787;86,504944
2024-05-01 00:45:00+02:00;222,16258;0;164,1613;58,00128;164,1613
2024-05-01 01:00:00+02:00;148,09912;0;117,11086;30,988266;117,11086
2024-05-01 01:15:00+02:00;122,60153;0;114,36025;8,241281;114,36025
2024-05-01 01:30:00+02:00;156,72197;0;132,35759;24,364374;132,35759
2024-05-01 01:45:00+02:00;154,09294;0;121,505844;32,587093;121,505844
2024-05-01 02:00:00+02:00;63,510674;18,49952;82,01019;0;63,510674
2024-05-01 02:15:00+02:00;87,18422;0;0;87,18422;0
2024-05-01 02:30:00+02:00;65,35689;18,837334;84,19422;0;65,35689
2024-05-01 02:45:00+02:00;63,385384;6,3452797;10,964472;58,76619;4,619192
2024-05-01 03:00:00+02:00;62,274536;19,09728;81,37182;0;62,274536
2024-05-01 03:15:00+02:00;63,745384;12,958827;47,330025;29,37419;34,371197
2024-05-01 03:30:00+02:00;64,99538;12,131947;47,861084;29,266241;35,729137
2024-05-01 03:45:00+02:00;91,91192;6,355947;83,32643;14,94144;76,97048
2024-05-01 04:00:00+02:00;104,577484;0;81,873695;22,703787;81,873695
2024-05-01 04:15:00+02:00;106,75476;0;83,297905;23,456854;83,297905
2024-05-01 04:30:00+02:00;102,90513;0;80,58012;22,325014;80,58012
2024-05-01 04:45:00+02:00;103,69925;0;80,85487;22,844374;80,85487
2024-05-01 05:00:00+02:00;107,17871;3,04928;91,46671;18,76128;88,417435
2024-05-01 05:15:00+02:00;97,57558;5,8295465;85,61077;17,794348;79,78123
2024-05-01 05:30:00+02:00;126,79348;8,565333;121,98441;13,3744;113,41908
2024-05-01 05:45:00+02:00;128,87248;2,9991465;110,17926;21,692373;107,180115
2024-05-01 06:00:00+02:00;64,71428;13,12768;77,84196;0;64,71428
2024-05-01 06:15:00+02:00;67,56602;4,24224;11,565375;60,24288;7,3231354
2024-05-01 06:30:00+02:00;62,793884;10,173973;43,798683;29,169174;33,62471
2024-05-01 06:45:00+02:00;66,56554;4,933333;24,885641;46,613228;19,952309
2024-05-01 07:00:00+02:00;75,56639;0;50,73706;24,829332;50,73706
2024-05-01 07:15:00+02:00;60,63225;0;25,700092;34,93216;25,700092
2024-05-01 07:30:00+02:00;63,343956;23,744425;87,08838;0;63,343956
2024-05-01 07:45:00+02:00;32,85122;14,58848;17,74871;29,690989;3,1602306
2024-05-01 08:00:00+02:00;166,38142;52,93835;14,445534;204,87424;0
2024-05-01 08:15:00+02:00;145,88297;26,794985;95,844345;76,8336;69,04936
2024-05-01 08:30:00+02:00;872,0283;71,30272;0;943,33105;0
2024-05-01 08:45:00+02:00;229,28162;139,59392;322,45953;46,416;182,86562
2024-05-01 09:00:00+02:00;45,1006;204,20406;249,07906;0,2256;44,875
2024-05-01 09:15:00+02:00;146,35478;143,31606;219,87553;69,7953;76,55948
2024-05-01 09:30:00+02:00;233,7403;47,639893;281,3802;0;233,7403
2024-05-01 09:45:00+02:00;254,6042;0;20,979359;233,62485;20,979359
2024-05-01 10:00:00+02:00;79,15014;918,1525;996,0165;1,2861866;77,86395
2024-05-01 10:15:00+02:00;74,93701;2201,4639;2276,401;0;74,93701
2024-05-01 10:30:00+02:00;85,414795;2875,7727;2961,1875;0;85,414795
2024-05-01 10:45:00+02:00;57,94287;3511,8555;3569,7983;0;57,94287
2024-05-01 11:00:00+02:00;65,979065;438,6799;504,65897;0;65,979065
2024-05-01 11:15:00+02:00;64,848145;1169,1304;1233,9785;0;64,848145
2024-05-01 11:30:00+02:00;120,96484;4913,1514;5034,116;0;120,96484
2024-05-01 11:45:00+02:00;129,58057;4039,4824;4169,063;0;129,58057
2024-05-01 12:00:00+02:00;251,18164;4494,6172;4745,7988;0;251,18164
2024-05-01 12:15:00+02:00;221,20898;3065,5718;3286,7808;0;221,20898
2024-05-01 12:30:00+02:00;208,73194;2596,5024;2805,2344;0;208,73194
2024-05-01 12:45:00+02:00;218,208252;3144,4336;3362,6418;0;218,208252
2024-05-01 13:00:00+02:00;243,53614;2175,8286;2419,3648;0;243,53614
2024-05-01 13:15:00+02:00;306,86962;5188,7006;5495,5704;0;306,86962
2024-05-01 13:30:00+02:00;275,75708;2810,3068;3086,064;0;275,75708
2024-05-01 13:45:00+02:00;314,35644;9037,204;9351,5606;0;314,35644
2024-05-01 14:00:00+02:00;233,96386;9232,8632;9466,8272;0;233,96386
2024-05-01 14:15:00+02:00;220,32422;7989,251;8209,5752;0;220,32422
2024-05-01 14:30:00+02:00;162,05566;6397,6832;6559,7388;0;162,05566
